UNIT_START,ID,CLOCK_START,BYTES_START,UNIT_END,ID2,CLOCK_END,BYTES_END
2473827278,0,745065,32,2473847310,0,745070,6208
2474995024,1,745381,32,2475003904,1,745383,6144
2476184260,2,745703,32,2476192608,2,745705,6272
2477372070,3,746024,32,2477380066,3,746026,6400
2478566730,4,746347,32,2478576618,4,746350,5888
2479777466,5,746675,32,2479787334,5,746678,5696
2481123542,6,747039,32,2481136888,6,747043,5824
2482323788,7,747364,32,2482333870,7,747367,5632
2483515780,8,747686,32,2483525672,8,747689,5632
2484700040,9,748007,32,2484710316,9,748010,5824
2485883356,10,748327,32,2485893484,10,748330,5600
2487070260,11,748648,32,2487080170,11,748651,5920
2488258682,12,748970,32,2488267612,12,748972,5952
2489445154,13,749291,32,2489454062,13,749293,6144
2490684830,14,749626,32,2490695844,14,749629,6144
2491903628,15,749956,32,2491912940,15,749958,6080
2493130384,16,750288,32,2493142468,16,750291,5664
2494347358,17,750617,32,2494356930,17,750620,5888
2495632882,18,750965,32,2495642780,18,750968,5824
2496814096,19,751284,32,2496823100,19,751287,5952
2498003684,20,751606,32,2498013676,20,751609,5792
2499204354,21,751931,32,2499213526,21,751934,5888
2500420802,22,752260,32,2500432250,22,752263,5568
2501601528,23,752580,32,2501611480,23,752582,5536
2502802040,24,752905,32,2502813134,24,752908,5504
2504014932,25,753233,32,2504024020,25,753235,6048
2505207042,26,753555,32,2505217336,26,753558,5376
2506397974,27,753877,32,2506408386,27,753880,5664
2507595096,28,754201,32,2507604326,28,754204,5600
2508776620,29,754521,32,2508787022,29,754524,5376
2509981738,30,754847,32,2509992276,30,754850,5408
2511812838,31,755341,32,2511855424,31,755354,5728
2513965066,32,755924,32,2513981012,32,755929,5888
2515665786,33,756385,32,2515679522,33,756389,5408
2516844828,34,756704,32,2516854862,34,756707,5600
2518018538,35,757022,32,2518027952,35,757024,5824
2519198636,36,757341,32,2519209736,36,757344,5088
2520363170,37,757656,32,2520373330,37,757659,5472
2521534426,38,757973,32,2521543174,38,757975,5984
2522707768,39,758290,32,2522716190,39,758293,6080
2523886220,40,758609,32,2523894544,40,758611,6016
2525138154,41,758948,32,2525147030,41,758950,6336
2526383722,42,759285,32,2526392356,42,759287,6208
2527583680,43,759609,32,2527592722,43,759612,6080
2528792262,44,759936,32,2528802900,44,759939,5760
2529990714,45,760261,32,2530000122,45,760263,5760
2531181452,46,760583,32,2531190164,46,760585,6144
2532419312,47,760918,32,2532427520,47,760920,6368
2533628190,48,761245,32,2533636802,48,761247,6112
2534820694,49,761568,32,2534829856,49,761570,6048
2536018116,50,761891,32,2536025846,50,761894,6336
2537235578,51,762221,32,2537243828,51,762223,6112
2538425190,52,762543,32,2538433312,52,762545,6432
2539654430,53,762875,32,2539665134,53,762878,6048
2540976756,54,763232,32,2540988832,54,763236,5696
2542161390,55,763554,32,2542170520,55,763556,5792
2543351564,56,763876,32,2543359740,56,763878,6208
2544610002,57,764216,32,2544622098,57,764220,5632
2545802358,58,764539,32,2545811680,58,764541,5952
2546996992,59,764862,32,2547005920,59,764864,6016
2548178778,60,765182,32,2548188678,60,765185,6016
2549375550,61,765505,32,2549383624,61,765508,6400
2550573026,62,765830,32,2550581656,62,765832,6176
2551786186,63,766158,32,2551795680,63,766160,5792
2552972730,64,766479,32,2552982024,64,766481,5824
2554169084,65,766802,32,2554178440,65,766805,5984
2555416546,66,767140,32,2555425594,66,767143,6336
2556619940,67,767466,32,2556628842,67,767468,6240
2557803686,68,767786,32,2557812366,68,767788,6144
2559023498,69,768116,32,2559033718,69,768119,5984
2560328942,70,768469,32,2560339158,70,768472,5856
2561526994,71,768793,32,2561535982,71,768796,5824
2562714376,72,769115,32,2562732870,72,769120,5728
2563954656,73,769449,32,2563964810,73,769453,6016
2565143684,74,769772,32,2565153964,74,769775,5472
2301894636,0,728590,32,2301907456,0,728594,6016
2303043636,1,728901,32,2303053326,1,728904,5792
2304297766,2,729236,32,2304306358,2,729239,6656
2305496336,3,729560,32,2305505104,3,729563,6304
2306686212,4,729882,32,2306694380,4,729885,6176
2307889216,5,730208,32,2307897458,5,730210,6400
2309089662,6,730533,32,2309097168,6,730535,6592
2310321344,7,730866,32,2310330932,7,730869,6528
2311548206,8,731198,32,2311557840,8,731200,6048
2312751178,9,731523,32,2312761506,9,731526,5632
2314037060,10,731870,32,2314054800,10,731876,5568
2315235888,11,732196,32,2315246336,11,732198,5376
2316576126,12,732558,32,2316588642,12,732562,5440
2317813902,13,732893,32,2317829484,13,732897,5504
2319036130,14,733224,32,2319048460,14,733227,5824
2320241328,15,733550,32,2320250352,15,733552,5856
2321414490,16,733867,32,2321424306,16,733870,5568
2322610862,17,734191,32,2322620630,17,734194,5632
2323837050,18,734523,32,2323846316,18,734525,5984
2325051294,19,734851,32,2325098528,19,734864,6496
2326316814,20,735194,32,2326326750,20,735196,6304
2327532046,21,735522,32,2327541500,21,735525,6432
2328750270,22,735852,32,2328758644,22,735854,6336
