UNIT_START,ID,CLOCK_START,BYTES_START,UNIT_END,ID2,CLOCK_END,BYTES_END
3517940128,0,696165,32,3517951328,0,696168,6048
3519112788,1,696483,32,3519121462,1,696485,6048
3520302394,2,696804,32,3520310610,2,696807,6048
3521496422,3,697127,32,3521504862,3,697130,6048
3522685838,4,697449,32,3522693582,4,697451,6048
3523896372,5,697777,32,3523904534,5,697779,6048
3525085170,6,698098,32,3525092776,6,698101,6048
3526267866,7,698418,32,3526275636,7,698421,6048
3527449028,8,698738,32,3527456368,8,698740,6048
3528644902,9,699062,32,3528652640,9,699064,6048
3529836448,10,699384,32,3529844052,10,699386,6048
3531028354,11,699706,32,3531036254,11,699709,6048
3532219300,12,700029,32,3532226834,12,700031,6048
3533410512,13,700351,32,3533418176,13,700353,6048
3534600312,14,700673,32,3534607800,14,700675,6048
3535787284,15,700994,32,3535795000,15,700996,6048
3536978014,16,701316,32,3536985314,16,701318,6048
3538189900,17,701644,32,3538197636,17,701646,6048
3539373074,18,701964,32,3539380682,18,701966,6048
3540566064,19,702287,32,3540573622,19,702289,6048
3541750006,20,702607,32,3541757194,20,702609,6048
3542938630,21,702929,32,3542946132,21,702931,6048
3544118632,22,703248,32,3544125984,22,703250,6048
3545299722,23,703568,32,3545307186,23,703570,6048
3546493214,24,703891,32,3546500684,24,703893,6048
3547674600,25,704210,32,3547682178,25,704212,6048
3548867084,26,704533,32,3548874420,26,704535,6048
3550048678,27,704853,32,3550056408,27,704855,6048
3551244476,28,705176,32,3551251954,28,705178,6048
3552428182,29,705496,32,3552435806,29,705499,6048
3553627844,30,705821,32,3553635232,30,705823,6048
3554810286,31,706141,32,3554818304,31,706143,6048
3556171898,32,706509,32,3556181790,32,706512,7584
3557461530,33,706858,32,3557466266,33,706860,7584
3559038082,34,707285,32,3559044904,34,707287,7584
3561432270,35,707933,32,3561438234,35,707934,7584
3563798768,36,708573,32,3563804712,36,708575,7584
3566165850,37,709213,32,3566171582,37,709215,7584
