UNIT_START,ID,CLOCK_START,BYTES_START,UNIT_END,ID2,CLOCK_END,BYTES_END
3472431248,0,691439,32,3472443260,0,691442,6880
3473639808,1,691766,32,3473647050,1,691768,6848
3474850646,2,692094,32,3474857970,2,692096,6848
3476065270,3,692422,32,3476072272,3,692424,6816
3477282370,4,692751,32,3477289478,4,692753,6784
3478493140,5,693079,32,3478499978,5,693081,6784
3479692362,6,693404,32,3479699002,6,693405,6784
3480902334,7,693731,32,3480909302,7,693733,6784
3482110138,8,694058,32,3482116728,8,694060,6816
3483380898,9,694401,32,3483389108,9,694404,6752
3484580394,10,694726,32,3484587368,10,694728,6784
3485810004,11,695059,32,3485817036,11,695061,6784
3487017148,12,695385,32,3487024196,12,695387,6752
3488220320,13,695711,32,3488227436,13,695713,6720
3489416300,14,696034,32,3489423184,14,696036,6656
3490623258,15,696361,32,3490630308,15,696363,6688
3491840858,16,696690,32,3491847746,16,696692,6688
3493043104,17,697016,32,3493050120,17,697018,6688
3494234034,18,697338,32,3494240706,18,697340,6688
3495442182,19,697665,32,3495448936,19,697667,6720
3496646524,20,697991,32,3496653222,20,697993,6752
3497859424,21,698319,32,3497866128,21,698321,6784
3499073672,22,698647,32,3499080522,22,698649,6784
3500341290,23,698990,32,3500348870,23,698992,6784
3501546056,24,699316,32,3501552792,24,699318,6816
3502757338,25,699644,32,3502764412,25,699646,6816
3503961032,26,699970,32,3503967248,26,699971,6880
3505163462,27,700295,32,3505170060,27,700297,6816
3506376534,28,700623,32,3506382966,28,700625,6848
3507592288,29,700952,32,3507598776,29,700954,6880
3508794228,30,701277,32,3508800616,30,701279,6848
3510131238,31,701639,32,3510141348,31,701642,6848
3511421320,32,701988,32,3511427816,32,701990,6880
3512959592,33,702404,32,3512970878,33,702407,6880
3515379690,34,703059,32,3515389782,34,703062,6880
3517738902,35,703697,32,3517748770,35,703700,6880
3520100038,36,704336,32,3520109780,36,704339,6912
3522466012,37,704976,32,3522475778,37,704979,6944
3524827502,38,705615,32,3524837022,38,705618,6944
3527185252,39,706253,32,3527194896,39,706256,6976
3529571142,40,706899,32,3529580982,40,706902,6944
3531921998,41,707535,32,3531931924,41,707538,6912
3534284078,42,708174,32,3534294034,42,708177,6880
3536627344,43,708808,32,3536637632,43,708811,6880
3538995618,44,709449,32,3539005164,44,709451,6880
3541229146,45,710053,32,3541240788,45,710056,6848
3542495384,46,710396,32,3542502804,46,710398,6848
3543762632,47,710739,32,3543769746,47,710741,6880
3544991252,48,711071,32,3544997888,48,711073,6880
3546207988,49,711400,32,3546214458,49,711402,6848
3547407152,50,711725,32,3547413742,50,711726,6848
3548608372,51,712050,32,3548615032,51,712051,6848
3549808878,52,712374,32,3549815492,52,712376,6848
3551010858,53,712700,32,3551017484,53,712702,6848
3552215264,54,713026,32,3552221938,54,713027,6848
3553407264,55,713348,32,3553413990,55,713350,6848
3554611036,56,713674,32,3554617464,56,713676,6848
3555816662,57,714000,32,3555823418,57,714002,6816
3557035310,58,714330,32,3557042034,58,714332,6752
3558239024,59,714655,32,3558245726,59,714657,6720
3559445970,60,714982,32,3559452818,60,714984,6720
3560648684,61,715307,32,3560655454,61,715309,6720
3561841800,62,715630,32,3561848412,62,715632,6720
3563056622,63,715959,32,3563063600,63,715961,6720
3564475798,64,716342,32,3564489670,64,716347,6720
3566121294,65,716788,32,3566132940,65,716791,6720
3567341262,66,717118,32,3567348596,66,717120,6688
3568542558,67,717443,32,3568549842,67,717445,6688
3569745502,68,717769,32,3569752540,68,717771,6688
3570944920,69,718093,32,3570951600,69,718095,6720
3572150198,70,718419,32,3572157046,70,718421,6720
3573348642,71,718743,32,3573355508,71,718745,6720
3574589220,72,719079,32,3574601944,72,719083,6720
3575797832,73,719406,32,3575804696,73,719408,6720
3576999344,74,719731,32,3577006160,74,719733,6752
3578207206,75,720058,32,3578213844,75,720060,6752
3579402662,76,720381,32,3579409258,76,720383,6816
3580602870,77,720706,32,3580609464,77,720708,6848
3581805774,78,721032,32,3581812336,78,721033,6848
3583010790,79,721358,32,3583017190,79,721359,6848
3584217870,80,721684,32,3584224418,80,721686,6848
3585420330,81,722010,32,3585426716,81,722011,6912
3586636066,82,722339,32,3586642328,82,722340,6880
3587848476,83,722667,32,3587854796,83,722668,6912
3589075422,84,722999,32,3589081958,84,723000,6912
3590284150,85,723326,32,3590290416,85,723327,6912
3591496892,86,723654,32,3591503154,86,723655,6912
3592701894,87,723980,32,3592708218,87,723981,6880
