UNIT_START,ID,CLOCK_START,BYTES_START,UNIT_END,ID2,CLOCK_END,BYTES_END
3121947584,0,709187,32,3121956884,0,709190,7360
3123193956,1,709524,32,3123199674,1,709526,7360
3124434962,2,709860,32,3124440718,2,709862,7360
3125675498,3,710196,32,3125680790,3,710197,7360
3126919410,4,710532,32,3126924640,4,710534,7424
3128165732,5,710870,32,3128170758,5,710871,7424
3129411376,6,711207,32,3129416316,6,711208,7424
3130677632,7,711549,32,3130682684,7,711551,7488
3131923240,8,711886,32,3131927836,8,711888,7424
3133285316,9,712255,32,3133291930,9,712257,7424
3134537058,10,712593,32,3134542326,10,712595,7424
3135784166,11,712931,32,3135789322,11,712932,7424
3137030208,12,713268,32,3137035062,12,713269,7424
3138268402,13,713603,32,3138273194,13,713604,7392
3139569186,14,713955,32,3139574938,14,713957,7392
3140819170,15,714293,32,3140824278,15,714295,7296
3142056816,16,714628,32,3142061622,16,714629,7392
3143294460,17,714963,32,3143299378,17,714964,7392
3144538838,18,715300,32,3144543788,18,715301,7392
3145799214,19,715641,32,3145803988,19,715642,7520
3147051250,20,715979,32,3147056170,20,715981,7328
3148300014,21,716317,32,3148304970,21,716319,7360
3149538948,22,716652,32,3149543706,22,716654,7392
3150783910,23,716989,32,3150788632,23,716991,7456
3152028718,24,717326,32,3152033384,24,717327,7488
3153265250,25,717661,32,3153269914,25,717662,7456
3154510516,26,717998,32,3154515170,26,717999,7424
3155744872,27,718331,32,3155749698,27,718333,7296
3156990086,28,718668,32,3156994982,28,718670,7296
1493647722,0,684793,32,1493656922,0,684795,7424
1494893828,1,685130,32,1494899790,1,685132,7424
1496137114,2,685466,32,1496142606,2,685468,7456
1497393948,3,685807,32,1497399198,3,685808,7456
1498636486,4,686143,32,1498641590,4,686144,7456
1499891476,5,686482,32,1499896176,5,686484,7680
1501144458,6,686821,32,1501148896,6,686822,7680
1502389314,7,687158,32,1502393638,7,687159,7648
1503663512,8,687503,32,1503668350,8,687504,7712
1504916424,9,687842,32,1504920612,9,687843,7712
1506164912,10,688180,32,1506169624,10,688181,7584
1507414446,11,688518,32,1507419424,11,688519,7520
1508654468,12,688853,32,1508659024,12,688854,7648
1509907216,13,689192,32,1509911824,13,689193,7648
1511164436,14,689532,32,1511168990,14,689534,7680
1512432494,15,689875,32,1512436978,15,689877,7680
1513688464,16,690215,32,1513693154,16,690217,7584
1514929332,17,690551,32,1514933734,17,690552,7584
1516177678,18,690889,32,1516182234,18,690890,7584
1517416698,19,691224,32,1517421426,19,691225,7552
1518666760,20,691562,32,1518671740,20,691564,7424
1519905390,21,691897,32,1519910302,21,691899,7424
1521149188,22,692234,32,1521153910,22,692235,7424
1522418258,23,692577,32,1522423900,23,692579,7392
1523667106,24,692915,32,1523671932,24,692916,7392
1524905164,25,693250,32,1524909990,25,693251,7392
1526144340,26,693585,32,1526149238,26,693587,7392
1527424454,27,693932,32,1527429510,27,693933,7424
1528674396,28,694270,32,1528679344,28,694271,7360
4167825980,0,687037,32,4167836772,0,687040,7488
4171335854,1,687392,32,4171344298,1,687394,7488
4172595470,2,687733,32,4172600820,2,687734,7488
4173868270,3,688077,32,4173873764,3,688079,7488
4175123312,4,688417,32,4175128240,4,688418,7488
4176432516,5,688771,32,4176438304,5,688772,7488
4177691648,6,689111,32,4177696434,6,689113,7584
4178943316,7,689450,32,4178948062,7,689451,7584
4180198774,8,689790,32,4180203386,8,689791,7616
4181460526,9,690131,32,4181465000,9,690132,7616
4182716602,10,690471,32,4182721216,10,690472,7648
4183971046,11,690810,32,4183975634,11,690812,7648
4185222684,12,691149,32,4185227252,12,691150,7552
4186481760,13,691490,32,4186486524,13,691491,7552
4187759262,14,691835,32,4187764288,14,691837,7424
4189011378,15,692174,32,4189016348,15,692176,7392
4190268696,16,692514,32,4190273474,16,692516,7392
4191516106,17,692852,32,4191520816,17,692853,7424
4192769976,18,693191,32,4192774652,18,693192,7488
4194029598,19,693532,32,4194034266,19,693533,7584
4195294876,20,693874,32,4195299304,20,693875,7584
4196544714,21,694212,32,4196549026,21,694214,7584
4197804704,22,694553,32,4197809444,22,694555,7520
4199063046,23,694894,32,4199067882,23,694895,7488
4200317114,24,695233,32,4200321748,24,695234,7488
4201569416,25,695572,32,4201574214,25,695573,7488
4202833224,26,695914,32,4202837778,26,695915,7488
4204092762,27,696255,32,4204097330,27,696256,7488
4205551026,28,696649,32,4205558816,28,696651,7584
2663621670,0,692089,32,2663630990,0,692092,7360
2664930738,1,692443,32,2664939008,1,692446,7360
2666241244,2,692798,32,2666249250,2,692800,7392
2667541192,3,693150,32,2667549298,3,693152,7360
2668827530,4,693498,32,2668835118,4,693500,7360
2670118086,5,693847,32,2670125710,5,693849,7360
2671406456,6,694196,32,2671413858,6,694198,7424
2672724786,7,694552,32,2672732330,7,694554,7424
2674020568,8,694903,32,2674027916,8,694905,7424
2675306410,9,695251,32,2675313926,9,695253,7424
2676633818,10,695610,32,2676642314,10,695612,7488
2677924352,11,695959,32,2677931798,11,695961,7488
2679226038,12,696311,32,2679233392,12,696313,7488
2680531014,13,696664,32,2680538484,13,696666,7584
2681823502,14,697014,32,2681830538,14,697016,7552
2683127328,15,697367,32,2683134698,15,697369,7552
2684412598,16,697715,32,2684419452,16,697717,7552
2685841528,17,698097,32,2685849934,17,698099,7488
2687149854,18,698451,32,2687157342,18,698453,7488
2688446272,19,698801,32,2688453412,19,698803,7520
2689748234,20,699154,32,2689755472,20,699156,7424
2691038494,21,699503,32,2691045672,21,699505,7520
2692338210,22,699854,32,2692345248,22,699856,7616
2693627896,23,700203,32,2693634722,23,700205,7616
2694926520,24,700555,32,2694933336,24,700557,7584
2696272478,25,700919,32,2696280062,25,700921,7584
2697573994,26,701271,32,2697580890,26,701273,7584
2698869972,27,701622,32,2698877996,27,701624,7584
2700162030,28,701971,32,2700168856,28,701973,7584
1244444276,0,717003,32,1244453856,0,717006,7392
1245715422,1,717347,32,1245721510,1,717349,7488
1246968940,2,717686,32,1246974232,2,717688,7488
1248217856,3,718024,32,1248223276,3,718026,7520
1249459906,4,718360,32,1249464712,4,718362,7520
1250714896,5,718700,32,1250719646,5,718701,7520
1251962276,6,719037,32,1251967060,6,719039,7520
1253216392,7,719377,32,1253220934,7,719378,7520
1254464220,8,719714,32,1254468844,8,719716,7520
1255715624,9,720053,32,1255720096,9,720054,7520
1256965662,10,720391,32,1256970852,10,720393,7584
1258218782,11,720730,32,1258223576,11,720732,7584
1259465670,12,721068,32,1259470206,12,721069,7552
1260741408,13,721413,32,1260746874,13,721414,7584
1262004602,14,721755,32,1262009336,14,721756,7584
1263258538,15,722094,32,1263263342,15,722095,7488
1264517162,16,722434,32,1264521836,16,722436,7456
1265767168,17,722773,32,1265772158,17,722774,7392
1267014708,18,723110,32,1267019600,18,723111,7392
1268266594,19,723449,32,1268271418,19,723450,7392
1269519710,20,723788,32,1269524652,20,723789,7392
1270772942,21,724127,32,1270777636,21,724128,7456
1272015302,22,724463,32,1272019822,22,724464,7456
1273268780,23,724802,32,1273273564,23,724804,7488
1274526880,24,725143,32,1274531554,24,725144,7488
1275790766,25,725485,32,1275795640,25,725486,7520
1277051242,26,725826,32,1277055750,26,725827,7488
1278297046,27,726163,32,1278301878,27,726164,7456
1279548446,28,726501,32,1279553128,28,726503,7392
3943313300,0,685603,32,3943322316,0,685605,7648
3944561806,1,685941,32,3944567092,1,685942,7648
3945811830,2,686279,32,3945816902,2,686280,7584
3947058756,3,686616,32,3947063674,3,686618,7456
3948306820,4,686954,32,3948311774,4,686955,7456
3949559086,5,687293,32,3949564064,5,687294,7424
3950826674,6,687636,32,3950831240,6,687637,7552
3952069074,7,687972,32,3952073432,7,687973,7552
3953310076,8,688308,32,3953314316,8,688309,7552
3954558024,9,688645,32,3954562268,9,688646,7552
3955805326,10,688983,32,3955810188,10,688984,7520
3957055326,11,689321,32,3957060380,11,689322,7520
3958298882,12,689657,32,3958303376,12,689659,7520
3959544382,13,689994,32,3959548898,13,689996,7520
3960800532,14,690334,32,3960804922,14,690335,7520
3962050842,15,690672,32,3962055602,15,690674,7552
3963301360,16,691011,32,3963307108,16,691012,7520
3964545598,17,691347,32,3964550376,17,691349,7424
3965808744,18,691689,32,3965813312,18,691690,7552
3967064794,19,692029,32,3967069742,19,692030,7392
3968386788,20,692387,32,3968393640,20,692389,7392
3969634516,21,692724,32,3969639594,21,692726,7360
3970875998,22,693060,32,3970880696,22,693062,7424
3972127450,23,693399,32,3972132158,23,693400,7328
3973376552,24,693737,32,3973381380,24,693738,7328
3974619378,25,694073,32,3974624130,25,694074,7328
3975856910,26,694408,32,3975861586,26,694409,7392
3977098618,27,694744,32,3977103268,27,694745,7392
3978341540,28,695080,32,3978346534,28,695082,7360
2367429704,0,697848,32,2367440108,0,697850,7296
2368780436,1,698213,32,2368786970,1,698215,7296
2370087468,2,698567,32,2370092746,2,698568,7328
2371386592,3,698918,32,2371391642,3,698920,7296
2372697280,4,699273,32,2372702120,4,699274,7456
2374008320,5,699628,32,2374012942,5,699629,7552
2375318268,6,699982,32,2375322766,6,699983,7552
2376648748,7,700342,32,2376653568,7,700343,7552
2377952658,8,700695,32,2377956860,8,700696,7680
2379267620,9,701050,32,2379271874,9,701052,7648
2380583500,10,701407,32,2380587788,10,701408,7648
2381896842,11,701762,32,2381901686,11,701763,7616
2383203860,12,702116,32,2383208078,12,702117,7616
2384519690,13,702472,32,2384523922,13,702473,7616
2385830628,14,702826,32,2385835320,14,702828,7456
2387139622,15,703180,32,2387144358,15,703182,7456
