GARBAGE_COLLECTOR;MEAN_rdtsc;MEDIAN_rdtsc;MEAN_clock;MEDIAN_clock
BinTreeI_8192B_Z=10_2018-10-03:19:44:50/
cheney;11055.3;7930;3.183566;2
custom;6111.738;4747;1.725524;1
generated;4576.189;4271;1.309441;1
BinTreeI_8192B_Z=11_2018-10-03:19:44:59/
cheney;7374.593;5294;2.101222;2
custom;5153.99;4834;1.492147;1
generated;5423.03;4944;1.553229;2
BinTreeI_8192B_Z=1_2018-10-03:19:43:26/
cheney;6540.73;4610;1.926606;1
custom;5208.859;3774;1.557798;1
generated;4124.07;3492;1.240367;1
BinTreeI_8192B_Z=12_2018-10-03:19:45:08/
cheney;8058.779;5728;2.371681;2
custom;6803.89;4948;1.975221;2
generated;4594.212;4216;1.325664;1
BinTreeI_8192B_Z=13_2018-10-03:19:45:17/
cheney;6844.117;4820;1.975177;2
custom;6524.234;4833;1.865248;1
generated;4609.73;4172;1.352837;1
BinTreeI_8192B_Z=14_2018-10-03:19:45:26/
cheney;8071.326;5954;2.348718;2
custom;6861.306;5350;1.965812;2
generated;4973.231;4562;1.435897;1
BinTreeI_8192B_Z=15_2018-10-03:19:45:35/
cheney;9368.662;6473;2.663823;2
custom;6259.836;4968;1.803754;1
generated;4906.334;4537;1.43686;1
BinTreeI_8192B_Z=16_2018-10-03:19:45:44/
cheney;11415.81;8138;3.267918;2
custom;5548.631;4861;1.617747;1
generated;5191.195;4707;1.520478;1
BinTreeI_8192B_Z=17_2018-10-03:19:45:53/
cheney;7412.037;6428;2.117547;2
custom;7400.593;5940;2.13799;2
generated;6125.373;6198;1.72402;2
BinTreeI_8192B_Z=18_2018-10-03:19:46:02/
cheney;8490.525;6712;2.399666;2
custom;8999.625;6324;2.610368;2
generated;5863.732;5349;1.697324;2
BinTreeI_8192B_Z=19_2018-10-03:19:46:11/
cheney;10164.39;6926;2.861667;2
custom;6937.327;5171;2.008333;2
generated;5950.127;5312;1.693333;2
BinTreeI_8192B_Z=20_2018-10-03:19:46:20/
cheney;11697.23;7684;3.345515;2
custom;7904.475;5870;2.285714;2
generated;5577.429;5204;1.594684;1
BinTreeI_8192B_Z=21_2018-10-03:19:46:30/
cheney;10582.69;6752;3.021776;2
custom;6434.288;5038;1.849246;2
generated;5507.394;5040;1.566164;1
BinTreeI_8192B_Z=2_2018-10-03:19:43:35/
cheney;5729.842;4176;1.675875;1
custom;7167.492;4896;2.121547;2
generated;3827.079;3378;1.139963;1
BinTreeI_8192B_Z=22_2018-10-03:19:46:39/
cheney;13748.82;9294;3.932455;3
custom;6936.227;5526;1.978583;2
generated;6115.855;5588;1.7743;2
BinTreeI_8192B_Z=23_2018-10-03:19:46:49/
cheney;11581.76;7854;3.310345;2
custom;6883.553;5416;1.986864;2
generated;5943.534;5526;1.683087;2
BinTreeI_8192B_Z=24_2018-10-03:19:46:58/
cheney;10995.49;7948;3.104918;2
custom;7640.682;5709;2.17541;2
generated;7020.813;5564;1.97541;2
BinTreeI_8192B_Z=25_2018-10-03:19:47:08/
cheney;13662.58;8582;3.855285;3
custom;6135.363;5410;1.782114;2
generated;7088.42;5684;2.021138;2
BinTreeI_8192B_Z=26_2018-10-03:19:47:17/
cheney;12948.53;9611;3.682965;3
custom;6818.558;5765;1.925868;2
generated;6482.407;6020;1.856467;2
BinTreeI_8192B_Z=27_2018-10-03:19:47:25/
cheney;7918.928;7286;2.235955;2
custom;6726.899;6446;1.910112;2
generated;6913.721;6462;1.916533;2
BinTreeI_8192B_Z=28_2018-10-03:19:47:34/
cheney;14702.67;10497;4.164537;3
custom;7472.08;6100;2.126198;2
generated;6483.268;5979;1.857827;2
BinTreeI_8192B_Z=29_2018-10-03:19:47:44/
cheney;10712.49;7975;2.988818;2
custom;9367.345;6425;2.669329;2
generated;6630.882;5970;1.878594;2
BinTreeI_8192B_Z=30_2018-10-03:19:47:53/
cheney;13376.16;9114;3.783537;3
custom;8417.143;6677;2.368902;2
