UNIT_START,ID,CLOCK_START,BYTES_START,UNIT_END,ID2,CLOCK_END,BYTES_END
2242604752,0,187500,272,2242619848,0,187500,4592
2242645245,1,187500,272,2242649623,1,187500,8192
2242688962,2,187500,272,2242692940,2,187500,8192
2242732312,3,187500,272,2242736202,3,187500,8192
2242775639,4,187500,272,2242779439,4,187500,8192
2242818349,5,187500,272,2242822177,5,187500,8192
2242862143,6,187500,272,2242865894,6,187500,8192
2242904786,7,187500,272,2242908565,7,187500,8192
2242947562,8,187500,272,2242951386,8,187500,8192
2242990805,9,187500,272,2242994722,9,187500,8192
2243039039,10,187500,272,2243043143,10,187500,8192
2243082156,11,187500,272,2243086174,11,187500,8192
2243126020,12,187500,272,2243129879,12,187500,8192
2243169248,13,187500,272,2243173048,13,187500,8192
2243212417,14,187500,272,2243219817,14,187500,5672
2243248377,15,187500,272,2243252331,15,187500,8192
2243291082,16,187500,272,2243294956,16,187500,8192
2243334771,17,187500,272,2243338583,17,187500,8192
2243377636,18,187500,272,2243381432,18,187500,8192
2243419749,19,187500,272,2243423666,19,187500,8192
2243462691,20,187500,272,2243466476,20,187500,8192
2243505346,21,187500,272,2243509196,21,187500,8192
2243547777,22,187500,272,2243551580,22,187500,8192
2243591857,23,187500,272,2243595688,23,187500,8192
2243634186,24,187500,272,2243638082,24,187500,8192
2243677205,25,187500,272,2243681026,25,187500,8192
2243720780,26,187500,272,2243724602,26,187500,8192
2243763919,27,187500,272,2243767777,27,187500,8192
2243806648,28,187500,272,2243810488,28,187500,8192
2243849679,29,187500,272,2243853586,29,187500,8192
2243893442,30,187500,272,2243902719,30,187500,3512
2243922706,31,187500,272,2243926632,31,187500,8192
2243979606,32,187500,272,2243983500,32,187500,8192
2244020272,33,187500,272,2244023860,33,187500,8192
2244063802,34,187500,272,2244067512,34,187500,8192
2244104422,35,187500,272,2244107928,35,187500,8192
2244144440,36,187500,272,2244147892,36,187500,8192
2244183524,37,187500,272,2244187100,37,187500,8192
2244222772,38,187500,272,2244226324,38,187500,8192
2244263448,39,187500,272,2244266968,39,187500,8192
2244303384,40,187500,272,2244312332,40,187500,2792
2244327546,41,187500,272,2244331140,41,187500,8192
2244367488,42,187500,272,2244371010,42,187500,8192
2244406826,43,187500,272,2244410306,43,187500,8192
2244446508,44,187500,272,2244450042,44,187500,8192
2244487042,45,187500,272,2244490646,45,187500,8192
2244527402,46,187500,272,2244530910,46,187500,8192
2244567212,47,187500,272,2244570788,47,187500,8192
2244606472,48,187500,272,2244609972,48,187500,8192
2244646824,49,187500,272,2244650422,49,187500,8192
2244686886,50,187500,272,2244690372,50,187500,8192
2244726948,51,187500,272,2244730430,51,187500,8192
2244766408,52,187500,272,2244772224,52,187500,6032
2244800520,53,187500,272,2244804052,53,187500,8192
2244840246,54,187500,272,2244843726,54,187500,8192
2244879806,55,187500,272,2244883364,55,187500,8192
2244920460,56,187500,272,2244928660,56,187500,3152
2244944742,57,187500,272,2244948360,57,187500,8192
2244984324,58,187500,272,2244987880,58,187500,8192
2245024162,59,187500,272,2245030786,59,187500,8192
2245067010,60,187500,272,2245070512,60,187500,8192
2245125002,61,187500,272,2245129112,61,187500,8192
2245167285,62,187500,272,2245171156,62,187500,8192
2245209768,63,187500,272,2245213522,63,187500,8192
2245252180,64,187500,272,2245255897,64,187500,8192
2245295454,65,187500,272,2245299257,65,187500,8192
2245338799,66,187500,272,2245342666,66,187500,8192
2245382466,67,187500,272,2245386445,67,187500,8192
2245425857,68,187500,272,2245429663,68,187500,8192
2245469257,69,187500,272,2245473060,69,187500,8192
2245512039,70,187500,272,2245515792,70,187500,8192
2245554039,71,187500,272,2245579322,71,187500,8192
2245619066,72,187500,272,2245623002,72,187500,8192
2245660900,73,187500,272,2245664694,73,187500,8192
2245704174,74,187500,272,2245714128,74,187500,3152
2245732303,75,187500,272,2245736192,75,187500,8192
2245775082,76,187500,272,2245782636,76,187500,4952
2245808180,77,187500,272,2245812183,77,187500,8192
2245851269,78,187500,272,2245858549,78,187500,4952
2245883552,79,187500,272,2245887386,79,187500,8192
2245926380,80,187500,272,2245930208,80,187500,8192
2245970134,81,187500,272,2245973999,81,187500,8192
2246013996,82,187500,272,2246017912,82,187500,8192
2246060457,83,187500,272,2246064463,83,187500,8192
2246103808,84,187500,272,2246114448,84,187500,1352
2246123765,85,187500,272,2246127592,85,187500,8192
2246166799,86,187500,272,2246170663,86,187500,8192
2246209694,87,187500,272,2246213506,87,187500,8192
2246252159,88,187500,272,2246255989,88,187500,8192
2246295583,89,187500,272,2246299420,89,187500,8192
2246337922,90,187500,272,2246341740,90,187500,8192
2246381082,91,187500,272,2246384891,91,187500,8192
2246424297,92,187500,272,2246430989,92,187500,5672
2246459845,93,187500,272,2246463685,93,187500,8192
2246502857,94,187500,272,2246506663,94,187500,8192
2246546162,95,187500,272,2246549968,95,187500,8192
2246589540,96,187500,272,2246595414,96,187500,6392
2246627411,97,187500,272,2246631346,97,187500,8192
2246669679,98,187500,272,2246673491,98,187500,8192
2246713276,99,187500,272,2246717119,99,187500,8192
2246756586,100,187500,272,2246766029,100,187500,2432
2246780559,101,187500,272,2246784565,101,187500,8192
2246824377,102,187500,272,2246828223,102,187500,8192
2246867596,103,187500,272,2246871466,103,187500,8192
2246910309,104,187500,272,2246914149,104,187500,8192
2246952860,105,187500,272,2246956697,105,187500,8192
